Query,Locale,CurrentRankingURLs,IntendedPrimaryURL,SupportingURLs,OwnershipStatus,EvidenceTier,OwnerDecision,Reason,Evidence
home maintenance tracker,en,UNOBSERVED — current GSC query/page data unavailable,/features/maintenance-tracker/,/guides/home-maintenance-log/; /tools/home-maintenance-schedule-generator/,NEEDS_EVIDENCE,TIER_B_SERP_BACKED_FOUNDATIONAL,SELECT_EXISTING_OWNER,"Existing owner, clear task, current SERP observation and strong product fit; no new URL.",REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
home maintenance schedule generator,en,UNOBSERVED — current GSC query/page data unavailable,/tools/home-maintenance-schedule-generator/,/guides/home-maintenance-schedule/; /guides/seasonal-home-maintenance-checklist/,NEEDS_EVIDENCE,TIER_B_SERP_BACKED_FOUNDATIONAL,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
home inventory tracker,en,UNOBSERVED — current GSC query/page data unavailable,/features/home-inventory-tracker/,/guides/home-inventory-checklist/; /guides/room-by-room-home-inventory/,NEEDS_EVIDENCE,TIER_B_SERP_BACKED_FOUNDATIONAL,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
appliance warranty tracker,en,UNOBSERVED — current GSC query/page data unavailable,/features/warranty-tracker/,/tools/warranty-expiration-calculator/; /guides/how-to-track-product-warranties/,NEEDS_EVIDENCE,TIER_B_SERP_BACKED_FOUNDATIONAL,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
digital home binder,en,UNOBSERVED — current GSC query/page data unavailable,/guides/digital-home-binder/,/guides/home-maintenance-binder/; /features/household-handoff/,NEEDS_EVIDENCE,TIER_B_SERP_BACKED_FOUNDATIONAL,SELECT_EXISTING_OWNER,"Existing owner, clear task, current SERP observation and strong product fit; no new URL.",REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
household handoff checklist,en,UNOBSERVED — current GSC query/page data unavailable,/guides/household-handoff/,/features/household-handoff/; /guides/travel-household-handoff/,NEEDS_EVIDENCE,TIER_B_SERP_BACKED_FOUNDATIONAL,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
居家保養紀錄,zh-TW,UNOBSERVED — current GSC query/page data unavailable,/zh-tw/features/maintenance-tracker/,/zh-tw/guides/home-maintenance-records/; /zh-tw/tools/home-maintenance-schedule-generator/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
家電保固管理,zh-TW,UNOBSERVED — current GSC query/page data unavailable,/zh-tw/features/warranty-tracker/,/zh-tw/tools/warranty-expiration-calculator/; /zh-tw/guides/how-to-track-product-warranties/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
家庭交接清單,zh-TW,UNOBSERVED — current GSC query/page data unavailable,/zh-tw/guides/household-handoff/,/zh-tw/features/household-handoff/; /zh-tw/guides/travel-household-handoff/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
home maintenance log,en,UNOBSERVED — current GSC query/page data unavailable,/guides/home-maintenance-log/,/guides/home-maintenance-records/; /features/maintenance-tracker/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
