Query,Locale,SearchIntent,ExistingOwner,CurrentRankingURLs,EvidenceTier,GSCStatus,SERPDate,ProductFit,RealMissingValue,Score,Decision,RecommendedAction,Evidence
home maintenance tracker,en,track recurring upkeep and service history,/features/maintenance-tracker/,UNOBSERVED,TIER_B_SERP_BACKED_FOUNDATIONAL,GSC_AUTH_MISSING,2026-09-10,STRONG_EXISTING_CAPABILITY,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,EVIDENCE_GATED_SELECTED,IMPROVE_EXISTING,Add a tracker-versus-generator decision bridge with a direct starter-generator link,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
home maintenance schedule generator,en,generate a tailored home upkeep schedule,/tools/home-maintenance-schedule-generator/,UNOBSERVED,TIER_B_SERP_BACKED_FOUNDATIONAL,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,FOUNDATIONAL_REVIEW_ONLY,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
home inventory tracker,en,"catalog assets with proof, location and lifecycle records",/features/home-inventory-tracker/,UNOBSERVED,TIER_B_SERP_BACKED_FOUNDATIONAL,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,FOUNDATIONAL_REVIEW_ONLY,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
appliance warranty tracker,en,"record warranty dates, proof and service history",/features/warranty-tracker/,UNOBSERVED,TIER_B_SERP_BACKED_FOUNDATIONAL,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,FOUNDATIONAL_REVIEW_ONLY,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
digital home binder,en,organize household records and handoff information,/guides/digital-home-binder/,UNOBSERVED,TIER_B_SERP_BACKED_FOUNDATIONAL,GSC_AUTH_MISSING,2026-09-10,STRONG_EXISTING_CAPABILITY,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,EVIDENCE_GATED_SELECTED,IMPROVE_EXISTING,Add a binder-versus-handoff decision bridge to the retrieval test and product handoff paths,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
household handoff checklist,en,transfer recurring household knowledge to another person,/guides/household-handoff/,UNOBSERVED,TIER_B_SERP_BACKED_FOUNDATIONAL,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,FOUNDATIONAL_REVIEW_ONLY,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
居家保養紀錄,zh-TW,記錄居家設備保養與維修歷史,/zh-tw/features/maintenance-tracker/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
家電保固管理,zh-TW,管理家電保固起算日、到期日與維修證據,/zh-tw/features/warranty-tracker/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
家庭交接清單,zh-TW,把家庭日常責任與重要資訊交給代理人,/zh-tw/guides/household-handoff/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
home maintenance log,en,"record completed work, dates, costs and follow-up",/guides/home-maintenance-log/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
